DEPTH,AC,CNL,DEN,GR,SP,RT,label
1905,284.562,31.216,2.502,127.213,77.246,25.897,2
1905.125,282.502,30.955,2.506,124.55,77.174,26.526,2
1905.25,280.196,30.687,2.514,122.778,77.106,27.177,2
1905.375,277.982,30.536,2.524,121.889,77.065,27.732,2
1905.5,276.274,30.353,2.535,122.338,77.068,28.114,2
1905.625,275.405,30.117,2.544,123.705,77.134,28.278,2
1905.75,275.544,29.74,2.55,125.747,77.278,28.214,2
1905.875,276.635,29.479,2.553,127.371,77.506,28.013,3
1906,278.381,29.516,2.553,128.486,77.81,27.799,3
1906.125,280.367,29.761,2.551,129.469,78.184,27.538,3
1906.25,282.204,30.137,2.55,130.688,78.597,27.175,3
1906.375,283.621,30.401,2.548,131.877,79.032,26.779,3
1906.5,284.481,30.486,2.548,132.893,79.471,26.387,3
1906.625,284.753,30.395,2.548,133.704,79.881,26.02,3
1906.75,284.455,30.202,2.548,134.431,80.241,25.782,0
1906.875,283.593,29.865,2.549,134.488,80.553,25.731,3
1907,282.171,29.514,2.549,133.609,80.807,25.83,3
1907.125,280.237,29.025,2.548,132.504,81.015,25.99,3
1907.25,277.822,28.709,2.547,131.794,81.164,26.07,3
1907.375,274.936,28.486,2.546,130.871,81.267,26.013,3
1907.5,271.572,28.185,2.547,129.816,81.365,25.839,3
1907.625,267.655,27.71,2.551,128.893,81.455,25.466,3
1907.75,263.143,27.179,2.56,128.253,81.547,24.861,3
1907.875,258.142,26.223,2.574,127.369,81.653,24.154,3
1908,252.984,25.027,2.591,126.503,81.741,23.403,3
1908.125,248.216,24.001,2.608,125.388,81.818,22.591,3
1908.25,244.412,23.345,2.625,125.036,81.879,21.822,3
1908.375,241.928,22.859,2.64,125.744,81.881,21.219,3
1908.5,240.785,22.77,2.651,126.781,81.861,20.773,3
1908.625,240.562,22.866,2.658,128.289,81.807,20.406,3
1908.75,240.591,23.042,2.663,130.594,81.731,20.069,3
1908.875,240.253,23.274,2.666,132.802,81.677,19.739,2
1909,239.159,23.535,2.67,134.509,81.651,19.394,2
1909.125,237.333,23.531,2.672,135.814,81.661,19.023,2
1909.25,235.131,23.332,2.672,135.743,81.729,18.678,2
1909.375,232.999,23.068,2.672,134.201,81.851,18.404,2
1909.5,231.277,22.829,2.67,131.41,82.031,18.141,2
1909.625,230.066,22.636,2.665,127.702,82.24,17.866,2
1909.75,229.254,22.44,2.66,124.186,82.458,17.657,2
1909.875,228.609,22.174,2.659,121.056,82.657,17.524,2
1910,227.922,21.961,2.659,118.73,82.831,17.44,2
1910.125,227.163,21.58,2.66,117.625,82.99,17.429,2
1910.25,226.552,21.137,2.662,117.424,83.16,17.459,2
1910.375,226.517,20.781,2.662,117.663,83.342,17.479,2
1910.5,227.553,20.8,2.658,117.918,83.54,17.511,2
1910.625,230.002,21.008,2.648,117.639,83.782,17.58,2
1910.75,233.913,21.471,2.636,117.602,84.08,17.705,2
1910.875,238.975,21.994,2.624,117.86,84.401,17.896,2
1911,244.553,22.939,2.614,118.062,84.747,18.12,2
1911.125,249.852,24.071,2.606,118.638,85.061,18.342,3
1911.25,254.249,25.13,2.602,120.738,85.34,18.522,2
1911.375,257.438,26.094,2.599,122.719,85.579,18.6,2
1911.5,259.511,26.862,2.597,124.533,85.748,18.572,3
1911.625,260.895,27.25,2.596,125.86,85.879,18.483,3
1911.75,262.154,27.347,2.593,127.014,86.021,18.369,3
1911.875,263.696,27.308,2.59,127.313,86.134,18.287,3
1912,265.679,27.276,2.585,128.213,86.209,18.27,3
1912.125,268.023,27.499,2.58,129.033,86.238,18.308,2
1912.25,270.392,28.012,2.574,130.483,86.222,18.41,2
1912.375,272.373,28.492,2.569,131.939,86.152,18.567,2
1912.5,273.612,28.867,2.569,133.591,86.021,18.742,2
1912.625,273.963,29.035,2.571,134.145,85.818,18.942,2
1912.75,273.456,28.878,2.576,134.152,85.556,19.179,2
1912.875,272.34,28.484,2.582,133.276,85.26,19.423,2
1913,271.031,28.084,2.589,132.091,84.969,19.667,2
1913.125,269.967,27.639,2.593,130.853,84.69,19.939,2
1913.25,269.442,27.447,2.593,129.862,84.452,20.257,2
1913.375,269.504,27.558,2.587,128.675,84.259,20.616,2
1913.5,269.901,27.645,2.579,127.457,84.103,21.029,2
1913.625,270.131,27.708,2.57,125.914,83.971,21.476,2
1913.75,269.67,27.574,2.564,123.884,83.879,21.911,2
1913.875,268.175,27.08,2.564,121.364,83.834,22.291,2
1914,265.645,26.447,2.571,118.86,83.84,22.591,2
1914.125,262.428,25.52,2.58,116.891,83.885,22.804,2
1914.25,259.095,24.732,2.59,116.158,83.974,22.917,2
1914.375,256.257,24.164,2.599,116.548,84.103,22.909,2
1914.5,254.381,24.163,2.603,117.344,84.268,22.777,2
1914.625,253.633,24.496,2.6,118.238,84.458,22.534,2
1914.75,253.881,25.165,2.595,119.019,84.636,22.169,2
1914.875,254.815,25.799,2.59,119.587,84.787,21.696,2
1915,256.051,26.541,2.587,119.458,84.901,21.188,1
1915.125,257.274,26.92,2.587,119.929,84.991,20.699,1
1915.25,258.355,27.34,2.593,120.58,85.049,20.255,1
1915.375,259.391,27.675,2.602,121.522,85.082,19.903,1
1915.5,260.581,27.812,2.612,122.205,85.076,19.688,1
1915.625,262.125,27.863,2.618,122.675,85.04,19.614,1
1915.75,264.127,28.174,2.619,122.74,84.981,19.7,1
1915.875,266.467,28.326,2.616,122.64,84.902,19.998,1
1916,268.854,28.419,2.609,122.268,84.75,20.523,1
1916.125,270.964,28.409,2.598,122.467,84.537,21.219,1
1916.25,272.598,28.381,2.587,123.345,84.314,21.989,1
1916.375,273.732,28.451,2.579,124.669,84.09,22.759,1
1916.5,274.557,28.421,2.572,127.21,83.85,23.464,1
1916.625,275.386,28.589,2.566,130.429,83.624,24.02,1
1916.75,276.478,28.73,2.562,133.3,83.449,24.407,1
1916.875,277.922,28.841,2.559,135.163,83.339,24.682,1
1917,279.621,28.767,2.556,136.266,83.315,24.837,1
1917.125,281.323,29.034,2.555,136.546,83.338,24.786,1
1917.25,282.739,28.861,2.555,135.169,83.4,24.536,1
1917.375,283.734,28.826,2.558,132.978,83.493,24.196,1
1917.5,284.337,29.109,2.562,130.909,83.599,23.795,1
1917.625,284.717,29.561,2.563,128.42,83.694,23.345,1
1917.75,285.122,29.595,2.563,126.071,83.769,23.013,1
1917.875,285.758,29.786,2.561,124.632,83.795,22.905,1
1918,286.74,30.041,2.556,123.689,83.804,22.931,1
1918.125,288.068,30.451,2.546,123.25,83.792,23.065,1
1918.25,289.609,30.407,2.537,123.969,83.772,23.374,1
1918.375,291.178,30.424,2.531,124.81,83.715,23.821,1
1918.5,292.601,30.458,2.526,125.395,83.613,24.348,1
1918.625,293.756,30.601,2.522,125.812,83.51,24.984,1
1918.75,294.614,30.481,2.519,125.775,83.413,25.723,1
1918.875,295.211,30.533,2.518,125.162,83.315,26.515,1
1919,295.623,30.827,2.517,123.841,83.226,27.343,1
1919.125,295.874,30.944,2.515,122.448,83.168,28.149,1
1919.25,295.941,31.088,2.514,121.379,83.153,28.854,1
1919.375,295.77,31.156,2.515,120.264,83.171,29.51,1
1919.5,295.313,31.363,2.517,118.941,83.19,30.17,1
1919.625,294.567,31.219,2.52,118.487,83.23,30.743,1
1919.75,293.606,31.279,2.524,118.863,83.277,31.199,1
1919.875,292.504,30.91,2.528,119.012,83.346,31.606,1
1920,291.27,30.547,2.532,118.605,83.43,31.967,2
1920.125,289.86,29.942,2.535,118.03,83.54,32.257,2
1920.25,288.159,29.404,2.537,116.859,83.675,32.511,2
1920.375,286.033,28.924,2.54,115.072,83.806,32.652,2
1920.5,283.43,28.522,2.543,113.333,83.878,32.559,3
1920.625,280.455,28.298,2.548,111.678,83.92,32.298,2
1920.75,277.297,28.24,2.553,110.066,83.899,32.001,2
1920.875,274.157,28.272,2.56,108.462,83.771,31.712,2
1921,271.206,28.233,2.567,107.253,83.523,31.458,2
1921.125,268.611,28.308,2.574,106.39,83.167,31.25,2
1921.25,266.522,27.874,2.581,105.618,82.784,31.021,2
1921.375,265.15,27.537,2.587,105.148,82.389,30.677,2
1921.5,264.751,27.1,2.59,104.674,81.948,30.256,2
1921.625,265.525,26.664,2.591,104.034,81.487,29.967,2
1921.75,267.484,26.426,2.588,103.672,81.035,29.92,2
1921.875,270.389,26.625,2.581,104.281,80.615,30.061,2
1922,273.749,26.889,2.572,105.335,80.219,30.375,2
1922.125,276.942,27.209,2.562,107.162,79.819,30.822,2
1922.25,279.51,27.671,2.553,109.58,79.432,31.263,2
1922.375,281.291,27.928,2.546,111.872,79.055,31.622,2
1922.5,282.478,28.02,2.541,114.321,78.659,31.976,2
1922.625,283.505,27.889,2.538,116.774,78.282,32.427,2
1922.75,284.856,27.562,2.533,118.585,77.891,32.954,2
1922.875,286.855,27.145,2.527,119.901,77.504,33.549,2
1923,289.52,26.702,2.52,120.709,77.118,34.238,2
